Tid;Lufttemperatur(°C)
2016-12-18 11:15;     0,200
2016-12-18 11:30;     0,200
2016-12-18 11:45;     0,300
2016-12-18 12:00;     0,200
2016-12-18 12:15;     0,200
2016-12-18 12:30;     0,200
2016-12-18 12:45;     0,300
2016-12-18 13:00;     0,200
2016-12-18 13:15;     0,300
2016-12-18 13:30;     0,400
2016-12-18 13:45;     0,200
2016-12-18 14:00;     0,200
2016-12-18 14:15;     0,300
2016-12-18 14:30;     0,300
2016-12-18 14:45;     0,400
2016-12-18 15:00;     0,300
2016-12-18 15:15;     0,200
2016-12-18 15:30;     0,200
2016-12-18 15:45;     0,100
2016-12-18 16:00;     0,100
2016-12-18 16:15;     0,100
2016-12-18 16:30;     0,200
2016-12-18 16:45;     0,200
2016-12-18 17:00;     0,200
2016-12-18 17:15;     0,300
2016-12-18 17:30;     0,400
2016-12-18 17:45;     0,300
2016-12-18 18:00;     0,300
2016-12-18 18:15;     0,300
2016-12-18 18:30;     0,300
2016-12-18 18:45;     0,200
2016-12-18 19:00;     0,200
2016-12-18 19:15;     0,200
2016-12-18 19:30;     0,200
2016-12-18 19:45;     0,400
2016-12-18 20:00;     0,200
2016-12-18 20:15;     0,300
2016-12-18 20:30;     0,200
2016-12-18 20:45;     0,200
2016-12-18 21:00;     0,200
2016-12-18 21:15;     0,300
2016-12-18 21:30;     0,300
2016-12-18 21:45;     0,200
2016-12-18 22:00;     0,200
2016-12-18 22:15;     0,300
2016-12-18 22:30;     0,300
2016-12-18 22:45;     0,500
2016-12-18 23:00;     0,500
2016-12-18 23:15;     0,400
2016-12-18 23:30;     0,300
2016-12-18 23:45;     0,500
2016-12-19 00:00;     0,500
2016-12-19 00:15;     0,500
2016-12-19 00:30;     0,500
2016-12-19 00:45;     0,400
2016-12-19 01:00;     0,300
2016-12-19 01:15;     0,400
2016-12-19 01:30;     0,400
2016-12-19 01:45;     0,600
2016-12-19 02:00;     0,500
2016-12-19 02:15;     0,500
2016-12-19 02:30;     0,500
2016-12-19 02:45;     0,400
2016-12-19 03:00;     0,400
2016-12-19 03:15;     0,300
2016-12-19 03:30;     0,400
2016-12-19 03:45;     0,900
2016-12-19 04:00;     1,000
2016-12-19 04:15;     0,900
2016-12-19 04:30;     0,900
2016-12-19 04:45;     0,900
2016-12-19 05:00;     0,600
2016-12-19 05:15;     1,000
2016-12-19 05:30;     0,800
2016-12-19 05:45;     0,600
2016-12-19 06:00;     0,600
2016-12-19 06:15;     1,100
2016-12-19 06:30;     0,900
2016-12-19 06:45;     0,700
2016-12-19 07:00;     0,600
2016-12-19 07:15;     0,800
2016-12-19 07:30;     0,600
2016-12-19 07:45;     0,800
2016-12-19 08:00;     0,600
2016-12-19 08:15;     0,600
2016-12-19 08:30;     0,600
2016-12-19 08:45;     1,000
2016-12-19 09:00;     1,100
2016-12-19 09:15;     1,100
2016-12-19 09:30;     1,400
2016-12-19 09:45;     1,000
2016-12-19 10:00;     0,800
2016-12-19 10:15;     0,900
2016-12-19 10:30;     0,900
2016-12-19 10:45;     0,700
2016-12-19 11:00;     0,900
2016-12-19 11:15;     1,200
2016-12-19 11:30;     1,000
2016-12-19 11:45;     1,100
2016-12-19 12:00;     1,000
2016-12-19 12:15;     1,200
2016-12-19 12:30;     1,500
2016-12-19 12:45;     1,200
2016-12-19 13:00;     1,400
2016-12-19 13:15;     1,900
2016-12-19 13:30;     1,300
2016-12-19 13:45;     1,900
2016-12-19 14:00;     1,300
2016-12-19 14:15;     0,900
2016-12-19 14:30;     1,000
2016-12-19 14:45;     1,100
2016-12-19 15:00;     1,000
2016-12-19 15:15;     1,300
2016-12-19 15:30;     1,400
2016-12-19 15:45;     1,300
2016-12-19 16:00;     1,400
2016-12-19 16:15;     2,600
2016-12-19 16:30;     1,800
2016-12-19 16:45;     1,700
2016-12-19 17:00;     1,600
2016-12-19 17:15;     1,900
2016-12-19 17:30;     2,200
2016-12-19 17:45;     1,700
2016-12-19 18:00;     2,500
2016-12-19 18:15;     2,100
2016-12-19 18:30;     1,700
2016-12-19 18:45;     2,100
2016-12-19 19:00;     2,500
2016-12-19 19:15;     2,400
2016-12-19 19:30;     2,200
2016-12-19 19:45;     1,900
2016-12-19 20:00;     2,100
2016-12-19 20:15;     2,500
2016-12-19 20:30;     3,100
2016-12-19 20:45;     3,600
2016-12-19 21:00;     3,800
2016-12-19 21:15;     2,900
2016-12-19 21:30;     4,100
2016-12-19 21:45;     4,200
2016-12-19 22:00;     4,100
2016-12-19 22:15;     4,600
2016-12-19 22:30;     4,100
2016-12-19 22:45;     4,300
2016-12-19 23:00;     4,100
2016-12-19 23:15;     3,800
2016-12-19 23:30;     4,300
2016-12-19 23:45;     4,600
2016-12-20 00:00;     4,600
2016-12-20 00:15;     4,100
2016-12-20 00:30;     4,700
2016-12-20 00:45;     4,200
2016-12-20 01:00;     4,900
2016-12-20 01:15;     3,900
2016-12-20 01:30;     4,700
2016-12-20 01:45;     4,300
2016-12-20 02:00;     4,100
2016-12-20 02:15;     3,300
2016-12-20 02:30;     3,200
2016-12-20 02:45;     4,100
2016-12-20 03:00;     4,200
2016-12-20 03:15;     3,100
2016-12-20 03:30;     3,200
2016-12-20 03:45;     3,400
2016-12-20 04:00;     3,100
2016-12-20 04:15;     3,000
2016-12-20 04:30;     2,700
2016-12-20 04:45;     2,900
2016-12-20 05:00;     2,900
2016-12-20 05:15;     3,600
2016-12-20 05:30;     3,400
2016-12-20 05:45;     2,900
2016-12-20 06:00;     2,400
2016-12-20 06:15;     2,700
2016-12-20 06:30;     2,700
2016-12-20 06:45;     2,500
2016-12-20 07:00;     2,700
2016-12-20 07:15;     3,000
2016-12-20 07:30;     2,600
2016-12-20 07:45;     2,300
2016-12-20 08:00;     2,600
2016-12-20 08:15;     2,600
2016-12-20 08:30;     3,200
2016-12-20 08:45;     2,600
2016-12-20 09:00;     2,500
2016-12-20 09:15;     2,700
2016-12-20 09:30;     2,700
2016-12-20 09:45;     2,100
2016-12-20 10:00;     2,600
2016-12-20 10:15;     2,500
2016-12-20 10:30;     2,500
2016-12-20 10:45;     2,700
2016-12-20 11:00;     2,400
2016-12-20 11:15;     3,200
2016-12-20 11:30;     2,400
2016-12-20 11:45;     2,800
2016-12-20 12:00;     2,200
2016-12-20 12:15;     2,500
2016-12-20 12:30;     2,400
2016-12-20 12:45;     2,600
2016-12-20 13:00;     2,600
2016-12-20 13:15;     2,500
2016-12-20 13:30;     2,300
2016-12-20 13:45;     3,100
2016-12-20 14:00;     3,200
2016-12-20 14:15;     3,300
2016-12-20 14:30;     3,400
2016-12-20 14:45;     2,800
2016-12-20 15:00;     2,700
2016-12-20 15:15;     2,800
2016-12-20 15:30;     2,700
2016-12-20 15:45;     6,200
2016-12-20 16:00;     6,800
2016-12-20 16:15;     5,300
2016-12-20 16:30;     6,600
2016-12-20 16:45;     7,000
2016-12-20 17:00;     5,500
2016-12-20 17:15;     5,900
2016-12-20 17:30;     5,500
2016-12-20 17:45;     2,800
2016-12-20 18:00;     2,600
2016-12-20 18:15;     2,200
2016-12-20 18:30;     2,200
2016-12-20 18:45;     2,500
2016-12-20 19:00;     2,000
2016-12-20 19:15;     2,600
2016-12-20 19:30;     2,300
2016-12-20 19:45;     2,600
2016-12-20 20:00;     1,700
2016-12-20 20:15;     3,300
2016-12-20 20:30;     6,100
2016-12-20 20:45;     6,200
2016-12-20 21:00;     5,400
2016-12-20 21:15;     4,500
2016-12-20 21:30;     4,200
2016-12-20 21:45;     5,700
2016-12-20 22:00;     6,500
2016-12-20 22:15;     4,800
2016-12-20 22:30;     5,700
2016-12-20 22:45;     5,500
2016-12-20 23:00;     5,700
2016-12-20 23:15;     5,400
2016-12-20 23:30;     5,800
2016-12-20 23:45;     5,700
2016-12-21 00:00;     5,500
2016-12-21 00:15;     6,000
2016-12-21 00:30;     5,700
2016-12-21 00:45;     5,900
2016-12-21 01:00;     5,600
2016-12-21 01:15;     5,700
2016-12-21 01:30;     5,800
2016-12-21 01:45;     6,000
2016-12-21 02:00;     5,800
2016-12-21 02:15;     6,000
2016-12-21 02:30;     5,900
2016-12-21 02:45;     5,900
2016-12-21 03:00;     6,100
2016-12-21 03:15;     5,800
2016-12-21 03:30;     6,000
2016-12-21 03:45;     6,000
2016-12-21 04:00;     5,500
2016-12-21 04:15;     5,300
2016-12-21 04:30;     5,500
2016-12-21 04:45;     5,800
2016-12-21 05:00;     5,500
2016-12-21 05:15;     5,400
2016-12-21 05:30;     5,400
2016-12-21 05:45;     5,400
2016-12-21 06:00;     5,500
2016-12-21 06:15;     5,000
2016-12-21 06:30;     5,300
2016-12-21 06:45;     5,100
2016-12-21 07:00;     5,300
2016-12-21 07:15;     4,900
2016-12-21 07:30;     5,000
2016-12-21 07:45;     4,800
