Tid;Snøens vannekvivalent(m)
2016-12-18 12:00;     0,046
2016-12-19 12:00;     0,046
2016-12-20 12:00;     0,038
2016-12-21 12:00;     0,027
2016-12-22 12:00;     0,037
2016-12-23 12:00;     0,055
2016-12-24 12:00;     0,084
2016-12-25 12:00;     0,111
2016-12-26 12:00;     0,136
2016-12-27 12:00;     0,162
2016-12-28 12:00;     0,163
2016-12-29 12:00;     0,158
2016-12-30 12:00;     0,140
2016-12-31 12:00;     0,125
2017-01-01 12:00;     0,124
2017-01-02 12:00;     0,124
2017-01-03 12:00;     0,134
2017-01-04 12:00;     0,137
2017-01-05 12:00;     0,133
2017-01-06 12:00;     0,140
2017-01-07 12:00;     0,148
2017-01-08 12:00;     0,150
2017-01-09 12:00;     0,152
2017-01-10 12:00;     0,151
2017-01-11 12:00;     0,168
2017-01-12 12:00;     0,186
2017-01-13 12:00;     0,193
2017-01-14 12:00;     0,193
2017-01-15 12:00;     0,193
2017-01-16 12:00;     0,193
2017-01-17 12:00;     0,199
2017-01-18 12:00;     0,204
2017-01-19 12:00;     0,193
2017-01-20 12:00;     0,177
2017-01-21 12:00;     0,168
2017-01-22 12:00;     0,166
2017-01-23 12:00;     0,166
2017-01-24 12:00;     0,166
2017-01-25 12:00;     0,164
2017-01-26 12:00;     0,145
2017-01-27 12:00;     0,145
2017-01-28 12:00;     0,150
2017-01-29 12:00;     0,151
2017-01-30 12:00;     0,152
2017-01-31 12:00;     0,156
2017-02-01 12:00;     0,156
2017-02-02 12:00;     0,158
2017-02-03 12:00;     0,158
2017-02-04 12:00;     0,158
2017-02-05 12:00;     0,157
2017-02-06 12:00;     0,157
2017-02-07 12:00;     0,157
2017-02-08 12:00;     0,155
2017-02-09 12:00;     0,150
2017-02-10 12:00;     0,149
2017-02-11 12:00;     0,148
2017-02-12 12:00;     0,147
2017-02-13 12:00;     0,148
2017-02-14 12:00;     0,148
2017-02-15 12:00;     0,149
