Tid;Vannstand(m);Vannføring(m³/s);25-persentil(m³/s);median(m³/s);75-persentil(m³/s)
2016-12-18 13:00;     1,374;     4,245;     0,927;     1,600;     3,177
2016-12-18 14:00;     1,373;     4,226; -9999,000; -9999,000; -9999,000
2016-12-18 15:00;     1,373;     4,226; -9999,000; -9999,000; -9999,000
2016-12-18 16:00;     1,372;     4,207; -9999,000; -9999,000; -9999,000
2016-12-18 17:00;     1,374;     4,245; -9999,000; -9999,000; -9999,000
2016-12-18 18:00;     1,374;     4,245; -9999,000; -9999,000; -9999,000
2016-12-18 19:00;     1,374;     4,245; -9999,000; -9999,000; -9999,000
2016-12-18 20:00;     1,370;     4,170; -9999,000; -9999,000; -9999,000
2016-12-18 21:00;     1,372;     4,207; -9999,000; -9999,000; -9999,000
2016-12-18 22:00;     1,369;     4,151; -9999,000; -9999,000; -9999,000
2016-12-18 23:00;     1,370;     4,170; -9999,000; -9999,000; -9999,000
2016-12-19 00:00;     1,368;     4,132;     0,905;     1,546;     3,011
2016-12-19 01:00;     1,368;     4,132; -9999,000; -9999,000; -9999,000
2016-12-19 02:00;     1,368;     4,132; -9999,000; -9999,000; -9999,000
2016-12-19 03:00;     1,367;     4,114; -9999,000; -9999,000; -9999,000
2016-12-19 04:00;     1,367;     4,114; -9999,000; -9999,000; -9999,000
2016-12-19 05:00;     1,365;     4,076; -9999,000; -9999,000; -9999,000
2016-12-19 06:00;     1,363;     4,040; -9999,000; -9999,000; -9999,000
2016-12-19 07:00;     1,363;     4,040; -9999,000; -9999,000; -9999,000
2016-12-19 08:00;     1,363;     4,040; -9999,000; -9999,000; -9999,000
2016-12-19 09:00;     1,363;     4,040; -9999,000; -9999,000; -9999,000
2016-12-19 10:00;     1,361;     4,003; -9999,000; -9999,000; -9999,000
2016-12-19 11:00;     1,361;     4,003; -9999,000; -9999,000; -9999,000
2016-12-19 12:00;     1,363;     4,040; -9999,000; -9999,000; -9999,000
2016-12-19 13:00;     1,361;     4,003; -9999,000; -9999,000; -9999,000
2016-12-19 14:00;     1,360;     3,985; -9999,000; -9999,000; -9999,000
2016-12-19 15:00;     1,363;     4,040; -9999,000; -9999,000; -9999,000
2016-12-19 16:00;     1,362;     4,021; -9999,000; -9999,000; -9999,000
2016-12-19 17:00;     1,367;     4,114; -9999,000; -9999,000; -9999,000
2016-12-19 18:00;     1,367;     4,114; -9999,000; -9999,000; -9999,000
2016-12-19 19:00;     1,366;     4,095; -9999,000; -9999,000; -9999,000
2016-12-19 20:00;     1,365;     4,076; -9999,000; -9999,000; -9999,000
2016-12-19 21:00;     1,369;     4,151; -9999,000; -9999,000; -9999,000
2016-12-19 22:00;     1,374;     4,245; -9999,000; -9999,000; -9999,000
2016-12-19 23:00;     1,377;     4,302; -9999,000; -9999,000; -9999,000
2016-12-20 00:00;     1,384;     4,438;     0,877;     1,531;     2,895
2016-12-20 01:00;     1,390;     4,557; -9999,000; -9999,000; -9999,000
2016-12-20 02:00;     1,400;     4,759; -9999,000; -9999,000; -9999,000
2016-12-20 03:00;     1,410;     4,968; -9999,000; -9999,000; -9999,000
2016-12-20 04:00;     1,420;     5,183; -9999,000; -9999,000; -9999,000
2016-12-20 05:00;     1,431;     5,426; -9999,000; -9999,000; -9999,000
2016-12-20 06:00;     1,442;     5,677; -9999,000; -9999,000; -9999,000
2016-12-20 07:00;     1,451;     5,888; -9999,000; -9999,000; -9999,000
2016-12-20 08:00;     1,462;     6,154; -9999,000; -9999,000; -9999,000
2016-12-20 09:00;     1,471;     6,377; -9999,000; -9999,000; -9999,000
2016-12-20 10:00;     1,478;     6,554; -9999,000; -9999,000; -9999,000
2016-12-20 11:00;     1,489;     6,839; -9999,000; -9999,000; -9999,000
2016-12-20 12:00;     1,494;     6,971; -9999,000; -9999,000; -9999,000
2016-12-20 13:00;     1,502;     7,187; -9999,000; -9999,000; -9999,000
2016-12-20 14:00;     1,511;     7,435; -9999,000; -9999,000; -9999,000
2016-12-20 15:00;     1,516;     7,575; -9999,000; -9999,000; -9999,000
2016-12-20 16:00;     1,517;     7,603; -9999,000; -9999,000; -9999,000
2016-12-20 17:00;     1,525;     7,832; -9999,000; -9999,000; -9999,000
2016-12-20 18:00;     1,527;     7,889; -9999,000; -9999,000; -9999,000
2016-12-20 19:00;     1,531;     8,006; -9999,000; -9999,000; -9999,000
2016-12-20 20:00;     1,535;     8,124; -9999,000; -9999,000; -9999,000
2016-12-20 21:00;     1,538;     8,213; -9999,000; -9999,000; -9999,000
2016-12-20 22:00;     1,540;     8,273; -9999,000; -9999,000; -9999,000
2016-12-20 23:00;     1,542;     8,333; -9999,000; -9999,000; -9999,000
2016-12-21 00:00;     1,541;     8,303;     0,856;     1,505;     2,774
2016-12-21 01:00;     1,542;     8,333; -9999,000; -9999,000; -9999,000
2016-12-21 02:00;     1,539;     8,243; -9999,000; -9999,000; -9999,000
2016-12-21 03:00;     1,540;     8,273; -9999,000; -9999,000; -9999,000
2016-12-21 04:00;     1,539;     8,243; -9999,000; -9999,000; -9999,000
2016-12-21 05:00;     1,539;     8,243; -9999,000; -9999,000; -9999,000
2016-12-21 06:00;     1,538;     8,213; -9999,000; -9999,000; -9999,000
2016-12-21 07:00;     1,535;     8,124; -9999,000; -9999,000; -9999,000
2016-12-21 08:00;     1,536;     8,153; -9999,000; -9999,000; -9999,000
2016-12-21 09:00;     1,532;     8,035; -9999,000; -9999,000; -9999,000
2016-12-21 10:00;     1,531;     8,006; -9999,000; -9999,000; -9999,000
2016-12-21 11:00;     1,528;     7,918; -9999,000; -9999,000; -9999,000
2016-12-21 12:00;     1,528;     7,918; -9999,000; -9999,000; -9999,000
2016-12-21 13:00;     1,525;     7,832; -9999,000; -9999,000; -9999,000
2016-12-21 14:00;     1,527;     7,889; -9999,000; -9999,000; -9999,000
2016-12-21 15:00;     1,527;     7,889; -9999,000; -9999,000; -9999,000
2016-12-21 16:00;     1,523;     7,774; -9999,000; -9999,000; -9999,000
2016-12-21 17:00;     1,520;     7,688; -9999,000; -9999,000; -9999,000
2016-12-21 18:00;     1,525;     7,832; -9999,000; -9999,000; -9999,000
2016-12-21 19:00;     1,524;     7,803; -9999,000; -9999,000; -9999,000
2016-12-21 20:00;     1,517;     7,603; -9999,000; -9999,000; -9999,000
2016-12-21 21:00;     1,518;     7,631; -9999,000; -9999,000; -9999,000
2016-12-21 22:00;     1,517;     7,603; -9999,000; -9999,000; -9999,000
2016-12-21 23:00;     1,513;     7,490; -9999,000; -9999,000; -9999,000
2016-12-22 00:00;     1,512;     7,463;     0,829;     1,496;     2,707
2016-12-22 01:00;     1,511;     7,435; -9999,000; -9999,000; -9999,000
2016-12-22 02:00;     1,507;     7,324; -9999,000; -9999,000; -9999,000
2016-12-22 03:00;     1,506;     7,296; -9999,000; -9999,000; -9999,000
2016-12-22 04:00;     1,507;     7,324; -9999,000; -9999,000; -9999,000
2016-12-22 05:00;     1,505;     7,269; -9999,000; -9999,000; -9999,000
2016-12-22 06:00;     1,501;     7,160; -9999,000; -9999,000; -9999,000
2016-12-22 07:00;     1,500;     7,133; -9999,000; -9999,000; -9999,000
2016-12-22 08:00;     1,501;     7,160; -9999,000; -9999,000; -9999,000
2016-12-22 09:00;     1,499;     7,106; -9999,000; -9999,000; -9999,000
