Tid;Vannstand(m);Vannføring(m³/s);25-persentil(m³/s);median(m³/s);75-persentil(m³/s)
2016-12-19 12:00;     1,366;     4,092;     0,905;     1,546;     3,011
2016-12-20 12:00;     1,486;     6,758;     0,877;     1,531;     2,895
2016-12-21 12:00;     1,529;     7,942;     0,856;     1,505;     2,774
2016-12-22 12:00;     1,494;     6,968;     0,829;     1,496;     2,707
2016-12-23 12:00;     1,454;     5,961;     0,805;     1,499;     2,692
2016-12-24 12:00;     1,435;     5,523;     0,773;     1,505;     2,696
2016-12-25 12:00;     1,440;     5,625;     0,738;     1,516;     2,681
2016-12-26 12:00;     1,495;     6,997;     0,708;     1,525;     2,655
2016-12-27 12:00;     1,502;     7,190;     0,664;     1,531;     2,694
2016-12-28 12:00;     1,455;     5,973;     0,645;     1,557;     2,725
2016-12-29 12:00;     1,419;     5,155;     0,619;     1,533;     2,662
2016-12-30 12:00;     1,661;    13,909;     0,599;     1,469;     2,605
2016-12-31 12:00;     1,842;    26,246;     0,565;     1,397;     2,553
2017-01-01 12:00;     1,624;    11,930;     0,540;     1,311;     2,443
2017-01-02 12:00;     1,507;     7,319;     0,523;     1,250;     2,374
2017-01-03 12:00;     1,449;     5,839;     0,510;     1,180;     2,273
2017-01-04 12:00;     1,411;     4,996;     0,499;     1,107;     2,175
2017-01-05 12:00;     1,364;     4,063;     0,482;     1,040;     2,080
2017-01-06 12:00;     1,332;     3,499;     0,485;     0,988;     1,969
2017-01-07 12:00;     1,315;     3,224;     0,486;     0,968;     1,964
2017-01-08 12:00;     1,299;     2,970;     0,491;     0,965;     2,190
2017-01-09 12:00;     1,299;     2,983;     0,497;     0,971;     2,375
2017-01-10 12:00;     1,354;     3,875;     0,520;     1,003;     2,477
2017-01-11 12:00;     1,377;     4,300;     0,544;     1,104;     2,682
2017-01-12 12:00;     1,367;     4,114;     0,562;     1,178;     2,829
2017-01-13 12:00;     1,340;     3,639;     0,583;     1,263;     2,942
2017-01-14 12:00;     1,309;     3,120;     0,618;     1,332;     3,143
2017-01-15 12:00;     1,280;     2,697;     0,653;     1,394;     3,344
2017-01-16 12:00;     1,253;     2,345;     0,699;     1,457;     3,482
2017-01-17 12:00;     1,239;     2,174;     0,732;     1,513;     3,501
2017-01-18 12:00;     1,246;     2,252;     0,763;     1,546;     3,298
2017-01-19 12:00;     1,475;     6,480;     0,789;     1,560;     3,148
2017-01-20 12:00;     1,866;    28,144;     0,802;     1,541;     3,033
2017-01-21 12:00;     1,787;    22,035;     0,812;     1,453;     2,801
2017-01-22 12:00;     1,604;    10,928;     0,814;     1,381;     2,581
2017-01-23 12:00;     1,500;     7,134;     0,810;     1,305;     2,403
2017-01-24 12:00;     1,437;     5,560;     0,792;     1,258;     2,154
2017-01-25 12:00;     1,395;     4,657;     0,769;     1,216;     1,927
2017-01-26 12:00;     1,441;     5,662;     0,724;     1,167;     1,745
2017-01-27 12:00;     1,443;     5,708;     0,688;     1,102;     1,637
2017-01-28 12:00;     1,408;     4,928;     0,651;     1,044;     1,562
2017-01-29 12:00;     1,375;     4,264;     0,623;     1,006;     1,486
2017-01-30 12:00;     1,339;     3,622;     0,595;     0,980;     1,456
2017-01-31 12:00;     1,302;     3,021;     0,582;     0,967;     1,485
2017-02-01 12:00;     1,271;     2,583;     0,586;     0,960;     1,572
2017-02-02 12:00;     1,257;     2,396;     0,594;     0,963;     1,712
2017-02-03 12:00;     1,243;     2,214;     0,602;     0,974;     1,839
2017-02-04 12:00;     1,229;     2,050;     0,616;     0,982;     2,027
2017-02-05 12:00;     1,216;     1,903;     0,639;     0,985;     2,180
2017-02-06 12:00;     1,201;     1,743;     0,658;     1,006;     2,257
2017-02-07 12:00;     1,182;     1,558;     0,671;     1,031;     2,332
2017-02-08 12:00;     1,161;     1,364;     0,682;     1,051;     2,382
2017-02-09 12:00;     1,144;     1,215;     0,693;     1,066;     2,381
2017-02-10 12:00;     1,133;     1,131;     0,692;     1,061;     2,315
2017-02-11 12:00;     1,126;     1,076;     0,680;     1,047;     2,194
2017-02-12 12:00;     1,117;     1,011;     0,661;     1,019;     2,039
2017-02-13 12:00;     1,109;     0,958;     0,644;     0,979;     1,938
2017-02-14 12:00;     1,102;     0,909;     0,625;     0,939;     1,758
2017-02-15 12:00;     1,096;     0,868;     0,598;     0,905;     1,604
2017-02-16 12:00; -9999,000; -9999,000;     0,577;     0,857;     1,492
