Tid;Vannstand(m);Vannføring(m³/s)
2016-12-18 13:00;     1,374;     4,245
2016-12-18 14:00;     1,373;     4,226
2016-12-18 15:00;     1,373;     4,226
2016-12-18 16:00;     1,372;     4,207
2016-12-18 17:00;     1,374;     4,245
2016-12-18 18:00;     1,374;     4,245
2016-12-18 19:00;     1,374;     4,245
2016-12-18 20:00;     1,370;     4,170
2016-12-18 21:00;     1,372;     4,207
2016-12-18 22:00;     1,369;     4,151
2016-12-18 23:00;     1,370;     4,170
2016-12-19 00:00;     1,368;     4,132
2016-12-19 01:00;     1,368;     4,132
2016-12-19 02:00;     1,368;     4,132
2016-12-19 03:00;     1,367;     4,114
2016-12-19 04:00;     1,367;     4,114
2016-12-19 05:00;     1,365;     4,076
2016-12-19 06:00;     1,363;     4,040
2016-12-19 07:00;     1,363;     4,040
2016-12-19 08:00;     1,363;     4,040
2016-12-19 09:00;     1,363;     4,040
2016-12-19 10:00;     1,361;     4,003
2016-12-19 11:00;     1,361;     4,003
2016-12-19 12:00;     1,363;     4,040
2016-12-19 13:00;     1,361;     4,003
2016-12-19 14:00;     1,360;     3,985
2016-12-19 15:00;     1,363;     4,040
2016-12-19 16:00;     1,362;     4,021
2016-12-19 17:00;     1,367;     4,114
2016-12-19 18:00;     1,367;     4,114
2016-12-19 19:00;     1,366;     4,095
2016-12-19 20:00;     1,365;     4,076
2016-12-19 21:00;     1,369;     4,151
2016-12-19 22:00;     1,374;     4,245
2016-12-19 23:00;     1,377;     4,302
2016-12-20 00:00;     1,384;     4,438
2016-12-20 01:00;     1,390;     4,557
2016-12-20 02:00;     1,400;     4,759
2016-12-20 03:00;     1,410;     4,968
2016-12-20 04:00;     1,420;     5,183
2016-12-20 05:00;     1,431;     5,426
2016-12-20 06:00;     1,442;     5,677
2016-12-20 07:00;     1,451;     5,888
2016-12-20 08:00;     1,462;     6,154
2016-12-20 09:00;     1,471;     6,377
2016-12-20 10:00;     1,478;     6,554
2016-12-20 11:00;     1,489;     6,839
2016-12-20 12:00;     1,494;     6,971
2016-12-20 13:00;     1,502;     7,187
2016-12-20 14:00;     1,511;     7,435
2016-12-20 15:00;     1,516;     7,575
2016-12-20 16:00;     1,517;     7,603
2016-12-20 17:00;     1,525;     7,832
2016-12-20 18:00;     1,527;     7,889
2016-12-20 19:00;     1,531;     8,006
2016-12-20 20:00;     1,535;     8,124
2016-12-20 21:00;     1,538;     8,213
2016-12-20 22:00;     1,540;     8,273
2016-12-20 23:00;     1,542;     8,333
2016-12-21 00:00;     1,541;     8,303
2016-12-21 01:00;     1,542;     8,333
2016-12-21 02:00;     1,539;     8,243
2016-12-21 03:00;     1,540;     8,273
2016-12-21 04:00;     1,539;     8,243
2016-12-21 05:00;     1,539;     8,243
2016-12-21 06:00;     1,538;     8,213
2016-12-21 07:00;     1,535;     8,124
2016-12-21 08:00;     1,536;     8,153
2016-12-21 09:00;     1,532;     8,035
2016-12-21 10:00;     1,531;     8,006
2016-12-21 11:00;     1,528;     7,918
2016-12-21 12:00;     1,528;     7,918
2016-12-21 13:00;     1,525;     7,832
2016-12-21 14:00;     1,527;     7,889
2016-12-21 15:00;     1,527;     7,889
2016-12-21 16:00;     1,523;     7,774
2016-12-21 17:00;     1,520;     7,688
2016-12-21 18:00;     1,525;     7,832
2016-12-21 19:00;     1,524;     7,803
2016-12-21 20:00;     1,517;     7,603
2016-12-21 21:00;     1,518;     7,631
2016-12-21 22:00;     1,517;     7,603
2016-12-21 23:00;     1,513;     7,490
2016-12-22 00:00;     1,512;     7,463
2016-12-22 01:00;     1,511;     7,435
2016-12-22 02:00;     1,507;     7,324
2016-12-22 03:00;     1,506;     7,296
2016-12-22 04:00;     1,507;     7,324
2016-12-22 05:00;     1,505;     7,269
2016-12-22 06:00;     1,501;     7,160
2016-12-22 07:00;     1,500;     7,133
2016-12-22 08:00;     1,501;     7,160
2016-12-22 09:00;     1,499;     7,106
2016-12-22 10:00;     1,497;     7,052
2016-12-22 11:00;     1,493;     6,945
2016-12-22 12:00;     1,497;     7,052
2016-12-22 13:00;     1,493;     6,945
2016-12-22 14:00;     1,490;     6,865
2016-12-22 15:00;     1,486;     6,760
2016-12-22 16:00;     1,483;     6,682
2016-12-22 17:00;     1,487;     6,787
2016-12-22 18:00;     1,486;     6,760
2016-12-22 19:00;     1,486;     6,760
2016-12-22 20:00;     1,483;     6,682
2016-12-22 21:00;     1,482;     6,657
2016-12-22 22:00;     1,482;     6,657
2016-12-22 23:00;     1,472;     6,402
2016-12-23 00:00;     1,479;     6,579
2016-12-23 01:00;     1,472;     6,402
2016-12-23 02:00;     1,470;     6,351
2016-12-23 03:00;     1,469;     6,327
2016-12-23 04:00;     1,470;     6,351
2016-12-23 05:00;     1,469;     6,327
2016-12-23 06:00;     1,465;     6,227
2016-12-23 07:00;     1,461;     6,129
2016-12-23 08:00;     1,457;     6,032
2016-12-23 09:00;     1,456;     6,008
2016-12-23 10:00;     1,455;     5,984
2016-12-23 11:00;     1,455;     5,984
2016-12-23 12:00;     1,450;     5,864
2016-12-23 13:00;     1,451;     5,888
