Tid;Vannstand(m);25-persentil(m);median(m);75-persentil(m)
2016-12-18 10:00;     1,374;     1,144;     1,223;     1,337
2016-12-18 11:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-18 12:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-18 13:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-18 14:00;     1,373; -9999,000; -9999,000; -9999,000
2016-12-18 15:00;     1,373; -9999,000; -9999,000; -9999,000
2016-12-18 16:00;     1,372; -9999,000; -9999,000; -9999,000
2016-12-18 17:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-18 18:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-18 19:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-18 20:00;     1,370; -9999,000; -9999,000; -9999,000
2016-12-18 21:00;     1,372; -9999,000; -9999,000; -9999,000
2016-12-18 22:00;     1,369; -9999,000; -9999,000; -9999,000
2016-12-18 23:00;     1,370; -9999,000; -9999,000; -9999,000
2016-12-19 00:00;     1,368;     1,141;     1,218;     1,327
2016-12-19 01:00;     1,368; -9999,000; -9999,000; -9999,000
2016-12-19 02:00;     1,368; -9999,000; -9999,000; -9999,000
2016-12-19 03:00;     1,367; -9999,000; -9999,000; -9999,000
2016-12-19 04:00;     1,367; -9999,000; -9999,000; -9999,000
2016-12-19 05:00;     1,365; -9999,000; -9999,000; -9999,000
2016-12-19 06:00;     1,363; -9999,000; -9999,000; -9999,000
2016-12-19 07:00;     1,363; -9999,000; -9999,000; -9999,000
2016-12-19 08:00;     1,363; -9999,000; -9999,000; -9999,000
2016-12-19 09:00;     1,363; -9999,000; -9999,000; -9999,000
2016-12-19 10:00;     1,361; -9999,000; -9999,000; -9999,000
2016-12-19 11:00;     1,361; -9999,000; -9999,000; -9999,000
2016-12-19 12:00;     1,363; -9999,000; -9999,000; -9999,000
2016-12-19 13:00;     1,361; -9999,000; -9999,000; -9999,000
2016-12-19 14:00;     1,360; -9999,000; -9999,000; -9999,000
2016-12-19 15:00;     1,363; -9999,000; -9999,000; -9999,000
2016-12-19 16:00;     1,362; -9999,000; -9999,000; -9999,000
2016-12-19 17:00;     1,367; -9999,000; -9999,000; -9999,000
2016-12-19 18:00;     1,367; -9999,000; -9999,000; -9999,000
2016-12-19 19:00;     1,366; -9999,000; -9999,000; -9999,000
2016-12-19 20:00;     1,365; -9999,000; -9999,000; -9999,000
2016-12-19 21:00;     1,369; -9999,000; -9999,000; -9999,000
2016-12-19 22:00;     1,374; -9999,000; -9999,000; -9999,000
2016-12-19 23:00;     1,377; -9999,000; -9999,000; -9999,000
2016-12-20 00:00;     1,384;     1,137;     1,216;     1,320
2016-12-20 01:00;     1,390; -9999,000; -9999,000; -9999,000
2016-12-20 02:00;     1,400; -9999,000; -9999,000; -9999,000
2016-12-20 03:00;     1,410; -9999,000; -9999,000; -9999,000
2016-12-20 04:00;     1,420; -9999,000; -9999,000; -9999,000
2016-12-20 05:00;     1,431; -9999,000; -9999,000; -9999,000
2016-12-20 06:00;     1,442; -9999,000; -9999,000; -9999,000
2016-12-20 07:00;     1,451; -9999,000; -9999,000; -9999,000
2016-12-20 08:00;     1,462; -9999,000; -9999,000; -9999,000
2016-12-20 09:00;     1,471; -9999,000; -9999,000; -9999,000
2016-12-20 10:00;     1,478; -9999,000; -9999,000; -9999,000
2016-12-20 11:00;     1,489; -9999,000; -9999,000; -9999,000
2016-12-20 12:00;     1,494; -9999,000; -9999,000; -9999,000
