Tid;Vannstand(m);25-persentil(m);median(m);75-persentil(m)
2016-12-18 12:00;     1,373;     1,144;     1,223;     1,337
2016-12-19 12:00;     1,366;     1,141;     1,218;     1,327
2016-12-20 12:00;     1,486;     1,137;     1,216;     1,320
2016-12-21 12:00;     1,529;     1,133;     1,214;     1,313
2016-12-22 12:00;     1,494;     1,129;     1,213;     1,310
2016-12-23 12:00;     1,454;     1,125;     1,213;     1,309
2016-12-24 12:00;     1,435;     1,119;     1,214;     1,309
2016-12-25 12:00;     1,440;     1,113;     1,215;     1,308
2016-12-26 12:00;     1,495;     1,108;     1,216;     1,306
2016-12-27 12:00;     1,502;     1,100;     1,217;     1,309
2016-12-28 12:00;     1,455;     1,096;     1,219;     1,311
2016-12-29 12:00;     1,419;     1,091;     1,217;     1,306
2016-12-30 12:00;     1,661;     1,087;     1,210;     1,302
2016-12-31 12:00;     1,842;     1,080;     1,201;     1,298
2017-01-01 12:00;     1,624;     1,075;     1,192;     1,291
2017-01-02 12:00;     1,507;     1,071;     1,185;     1,286
2017-01-03 12:00;     1,449;     1,068;     1,176;     1,279
2017-01-04 12:00;     1,411;     1,066;     1,167;     1,272
2017-01-05 12:00;     1,364;     1,062;     1,159;     1,264
2017-01-06 12:00;     1,332;     1,063;     1,152;     1,256
2017-01-07 12:00;     1,315;     1,063;     1,150;     1,255
2017-01-08 12:00;     1,299;     1,064;     1,150;     1,269
2017-01-09 12:00;     1,299;     1,065;     1,150;     1,281
2017-01-10 12:00;     1,354;     1,070;     1,154;     1,288
2017-01-11 12:00;     1,377;     1,075;     1,165;     1,300
2017-01-12 12:00;     1,367;     1,079;     1,173;     1,309
2017-01-13 12:00;     1,340;     1,084;     1,183;     1,317
2017-01-14 12:00;     1,309;     1,091;     1,192;     1,330
2017-01-15 12:00;     1,280;     1,098;     1,200;     1,344
2017-01-16 12:00;     1,253;     1,106;     1,207;     1,354
2017-01-17 12:00;     1,239;     1,112;     1,214;     1,355
2017-01-18 12:00;     1,246;     1,117;     1,217;     1,344
2017-01-19 12:00;     1,475;     1,122;     1,219;     1,334
2017-01-20 12:00;     1,866;     1,124;     1,217;     1,326
2017-01-21 12:00;     1,787;     1,126;     1,207;     1,312
2017-01-22 12:00;     1,604;     1,127;     1,200;     1,297
2017-01-23 12:00;     1,500;     1,126;     1,191;     1,283
2017-01-24 12:00;     1,437;     1,123;     1,186;     1,265
2017-01-25 12:00;     1,395;     1,118;     1,181;     1,248
2017-01-26 12:00;     1,441;     1,110;     1,175;     1,233
2017-01-27 12:00;     1,443;     1,104;     1,168;     1,225
2017-01-28 12:00;     1,408;     1,097;     1,161;     1,218
2017-01-29 12:00;     1,375;     1,092;     1,156;     1,211
2017-01-30 12:00;     1,339;     1,087;     1,152;     1,209
2017-01-31 12:00;     1,302;     1,084;     1,150;     1,211
2017-02-01 12:00;     1,271;     1,085;     1,149;     1,218
2017-02-02 12:00;     1,257;     1,086;     1,150;     1,230
2017-02-03 12:00;     1,243;     1,088;     1,151;     1,241
2017-02-04 12:00;     1,229;     1,091;     1,152;     1,255
2017-02-05 12:00;     1,216;     1,095;     1,152;     1,268
2017-02-06 12:00;     1,201;     1,099;     1,155;     1,275
2017-02-07 12:00;     1,182;     1,102;     1,158;     1,282
2017-02-08 12:00;     1,161;     1,104;     1,161;     1,286
2017-02-09 12:00;     1,144;     1,106;     1,163;     1,286
2017-02-10 12:00;     1,133;     1,106;     1,163;     1,280
2017-02-11 12:00;     1,126;     1,104;     1,161;     1,269
2017-02-12 12:00;     1,117;     1,100;     1,156;     1,256
2017-02-13 12:00;     1,109;     1,096;     1,151;     1,248
2017-02-14 12:00;     1,102;     1,093;     1,145;     1,234
2017-02-15 12:00;     1,096;     1,087;     1,139;     1,221
