Tid;Vannstand(m)
2016-12-18 10:00;     1,374
2016-12-18 11:00;     1,374
2016-12-18 12:00;     1,374
2016-12-18 13:00;     1,374
2016-12-18 14:00;     1,373
2016-12-18 15:00;     1,373
2016-12-18 16:00;     1,372
2016-12-18 17:00;     1,374
2016-12-18 18:00;     1,374
2016-12-18 19:00;     1,374
2016-12-18 20:00;     1,370
2016-12-18 21:00;     1,372
2016-12-18 22:00;     1,369
2016-12-18 23:00;     1,370
2016-12-19 00:00;     1,368
2016-12-19 01:00;     1,368
2016-12-19 02:00;     1,368
2016-12-19 03:00;     1,367
2016-12-19 04:00;     1,367
2016-12-19 05:00;     1,365
2016-12-19 06:00;     1,363
2016-12-19 07:00;     1,363
2016-12-19 08:00;     1,363
2016-12-19 09:00;     1,363
2016-12-19 10:00;     1,361
2016-12-19 11:00;     1,361
2016-12-19 12:00;     1,363
2016-12-19 13:00;     1,361
2016-12-19 14:00;     1,360
2016-12-19 15:00;     1,363
2016-12-19 16:00;     1,362
2016-12-19 17:00;     1,367
2016-12-19 18:00;     1,367
2016-12-19 19:00;     1,366
2016-12-19 20:00;     1,365
2016-12-19 21:00;     1,369
2016-12-19 22:00;     1,374
2016-12-19 23:00;     1,377
2016-12-20 00:00;     1,384
2016-12-20 01:00;     1,390
2016-12-20 02:00;     1,400
2016-12-20 03:00;     1,410
2016-12-20 04:00;     1,420
2016-12-20 05:00;     1,431
2016-12-20 06:00;     1,442
2016-12-20 07:00;     1,451
2016-12-20 08:00;     1,462
2016-12-20 09:00;     1,471
2016-12-20 10:00;     1,478
2016-12-20 11:00;     1,489
2016-12-20 12:00;     1,494
2016-12-20 13:00;     1,502
2016-12-20 14:00;     1,511
2016-12-20 15:00;     1,516
2016-12-20 16:00;     1,517
2016-12-20 17:00;     1,525
2016-12-20 18:00;     1,527
2016-12-20 19:00;     1,531
2016-12-20 20:00;     1,535
2016-12-20 21:00;     1,538
2016-12-20 22:00;     1,540
2016-12-20 23:00;     1,542
2016-12-21 00:00;     1,541
2016-12-21 01:00;     1,542
2016-12-21 02:00;     1,539
2016-12-21 03:00;     1,540
2016-12-21 04:00;     1,539
2016-12-21 05:00;     1,539
2016-12-21 06:00;     1,538
2016-12-21 07:00;     1,535
2016-12-21 08:00;     1,536
2016-12-21 09:00;     1,532
2016-12-21 10:00;     1,531
2016-12-21 11:00;     1,528
2016-12-21 12:00;     1,528
2016-12-21 13:00;     1,525
2016-12-21 14:00;     1,527
2016-12-21 15:00;     1,527
2016-12-21 16:00;     1,523
2016-12-21 17:00;     1,520
2016-12-21 18:00;     1,525
2016-12-21 19:00;     1,524
2016-12-21 20:00;     1,517
2016-12-21 21:00;     1,518
2016-12-21 22:00;     1,517
2016-12-21 23:00;     1,513
2016-12-22 00:00;     1,512
2016-12-22 01:00;     1,511
2016-12-22 02:00;     1,507
2016-12-22 03:00;     1,506
2016-12-22 04:00;     1,507
2016-12-22 05:00;     1,505
2016-12-22 06:00;     1,501
2016-12-22 07:00;     1,500
2016-12-22 08:00;     1,501
2016-12-22 09:00;     1,499
2016-12-22 10:00;     1,497
2016-12-22 11:00;     1,493
2016-12-22 12:00;     1,497
2016-12-22 13:00;     1,493
2016-12-22 14:00;     1,490
2016-12-22 15:00;     1,486
2016-12-22 16:00;     1,483
2016-12-22 17:00;     1,487
2016-12-22 18:00;     1,486
2016-12-22 19:00;     1,486
2016-12-22 20:00;     1,483
2016-12-22 21:00;     1,482
2016-12-22 22:00;     1,482
2016-12-22 23:00;     1,472
2016-12-23 00:00;     1,479
2016-12-23 01:00;     1,472
2016-12-23 02:00;     1,470
2016-12-23 03:00;     1,469
2016-12-23 04:00;     1,470
2016-12-23 05:00;     1,469
2016-12-23 06:00;     1,465
2016-12-23 07:00;     1,461
2016-12-23 08:00;     1,457
2016-12-23 09:00;     1,456
2016-12-23 10:00;     1,455
2016-12-23 11:00;     1,455
2016-12-23 12:00;     1,450
2016-12-23 13:00;     1,451
2016-12-23 14:00;     1,448
2016-12-23 15:00;     1,448
2016-12-23 16:00;     1,445
2016-12-23 17:00;     1,442
2016-12-23 18:00;     1,441
2016-12-23 19:00;     1,441
2016-12-23 20:00;     1,441
2016-12-23 21:00;     1,441
2016-12-23 22:00;     1,441
2016-12-23 23:00;     1,443
2016-12-24 00:00;     1,444
2016-12-24 01:00;     1,441
2016-12-24 02:00;     1,443
2016-12-24 03:00;     1,444
2016-12-24 04:00;     1,437
2016-12-24 05:00;     1,441
2016-12-24 06:00;     1,440
2016-12-24 07:00;     1,439
2016-12-24 08:00;     1,441
2016-12-24 09:00;     1,440
2016-12-24 10:00;     1,439
2016-12-24 11:00;     1,435
2016-12-24 12:00;     1,434
2016-12-24 13:00;     1,430
2016-12-24 14:00;     1,430
2016-12-24 15:00;     1,430
2016-12-24 16:00;     1,433
