Sogndalsvatn (77.3.0, 395 moh.), Vannføring (m³/s)
01.10.2015 00:00:00, 4,738843 
01.10.2015 01:00:00, 4,800585 
01.10.2015 02:00:00, 4,883762 
01.10.2015 03:00:00, 4,967913 
01.10.2015 04:00:00, 5,053048 
01.10.2015 05:00:00, 5,13917 
01.10.2015 06:00:00, 5,248222 
01.10.2015 07:00:00, 5,336593 
01.10.2015 08:00:00, 5,425969 
01.10.2015 09:00:00, 5,516359 
01.10.2015 10:00:00, 5,584822 
01.10.2015 11:00:00, 5,653862 
01.10.2015 12:00:00, 5,770216 
01.10.2015 13:00:00, 5,840806 
01.10.2015 14:00:00, 5,935837 
01.10.2015 15:00:00, 6,007798 
01.10.2015 16:00:00, 6,080352 
01.10.2015 17:00:00, 6,178016 
01.10.2015 18:00:00, 6,251958 
01.10.2015 19:00:00, 6,351488 
01.10.2015 20:00:00, 6,426838 
01.10.2015 21:00:00, 6,528247 
01.10.2015 22:00:00, 6,579359 
01.10.2015 23:00:00, 6,656537 
02.10.2015 00:00:00, 6,708329 
02.10.2015 01:00:00, 6,786533 
02.10.2015 02:00:00, 6,865356 
02.10.2015 03:00:00, 6,918248 
02.10.2015 04:00:00, 6,971417 
02.10.2015 05:00:00, 6,998108 
02.10.2015 06:00:00, 7,051694 
02.10.2015 07:00:00, 7,078593 
02.10.2015 08:00:00, 7,078593 
02.10.2015 09:00:00, 7,105559 
02.10.2015 10:00:00, 7,105559 
02.10.2015 11:00:00, 7,132598 
02.10.2015 12:00:00, 7,159707 
02.10.2015 13:00:00, 7,159707 
02.10.2015 14:00:00, 7,268838 
02.10.2015 15:00:00, 7,462537 
02.10.2015 16:00:00, 7,745307 
02.10.2015 17:00:00, 8,123707 
02.10.2015 18:00:00, 8,42321 
02.10.2015 19:00:00, 8,761257 
02.10.2015 20:00:00, 9,194409 
02.10.2015 21:00:00, 9,644494 
02.10.2015 22:00:00, 10,05997 
02.10.2015 23:00:00, 10,4376 
03.10.2015 00:00:00, 10,72599 
03.10.2015 01:00:00, 11,01881 
03.10.2015 02:00:00, 11,2165 
03.10.2015 03:00:00, 11,36607 
03.10.2015 04:00:00, 11,41617 
03.10.2015 05:00:00, 11,41617 
03.10.2015 06:00:00, 11,41617 
03.10.2015 07:00:00, 11,36607 
03.10.2015 08:00:00, 11,26623 
03.10.2015 09:00:00, 11,16689 
03.10.2015 10:00:00, 11,06804 
03.10.2015 11:00:00, 10,87184 
03.10.2015 12:00:00, 10,67761 
03.10.2015 13:00:00, 10,48536 
03.10.2015 14:00:00, 10,29507 
03.10.2015 15:00:00, 10,15365 
03.10.2015 16:00:00, 9,966787 
03.10.2015 17:00:00, 9,827929 
03.10.2015 18:00:00, 9,644494 
03.10.2015 19:00:00, 9,372986 
03.10.2015 20:00:00, 9,194409 
03.10.2015 21:00:00, 9,017763 
03.10.2015 22:00:00, 8,823696 
03.10.2015 23:00:00, 8,699121 
04.10.2015 00:00:00, 8,575745 
04.10.2015 01:00:00, 8,484003 
04.10.2015 02:00:00, 8,362719 
04.10.2015 03:00:00, 8,272535 
04.10.2015 04:00:00, 8,183017 
04.10.2015 05:00:00, 8,094164 
04.10.2015 06:00:00, 8,064691 
04.10.2015 07:00:00, 7,947535 
04.10.2015 08:00:00, 7,889391 
04.10.2015 09:00:00, 7,831541 
04.10.2015 10:00:00, 7,745307 
04.10.2015 11:00:00, 7,68818 
04.10.2015 12:00:00, 7,631341 
04.10.2015 13:00:00, 7,546617 
04.10.2015 14:00:00, 7,490494 
04.10.2015 15:00:00, 7,406841 
04.10.2015 16:00:00, 7,351428 
04.10.2015 17:00:00, 7,296299 
04.10.2015 18:00:00, 7,268838 
04.10.2015 19:00:00, 7,214132 
04.10.2015 20:00:00, 7,159707 
04.10.2015 21:00:00, 7,105559 
04.10.2015 22:00:00, 7,078593 
04.10.2015 23:00:00, 7,024868 
05.10.2015 00:00:00, 6,971417 
05.10.2015 01:00:00, 6,891769 
05.10.2015 02:00:00, 6,839012 
05.10.2015 03:00:00, 6,786533 
05.10.2015 04:00:00, 6,73433 
05.10.2015 05:00:00, 6,682401 
05.10.2015 06:00:00, 6,630742 
05.10.2015 07:00:00, 6,579359 
05.10.2015 08:00:00, 6,528247 
05.10.2015 09:00:00, 6,477407 
05.10.2015 10:00:00, 6,426838 
05.10.2015 11:00:00, 6,376535 
05.10.2015 12:00:00, 6,326504 
05.10.2015 13:00:00, 6,251958 
05.10.2015 14:00:00, 6,178016 
05.10.2015 15:00:00, 6,12905 
